111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
18.5,20.8,21.5,54.2,31,95.8,37,112.5,49.5,79.2,51.89,112.5
18.502,79.2,21.502,66.7,31.002,95.8,37.002,141.7,49.502,70.8,51.892,137.5
18.504,58.3,21.504,25,31.004,129.2,37.004,91.7,49.504,70.8,51.894,100
18.506,37.5,21.506,70.8,31.006,104.2,37.006,120.8,49.506,83.3,51.896,129.2
18.508,37.5,21.508,41.7,31.008,108.3,37.008,133.3,49.508,95.8,51.898,95.8
18.51,33.3,21.51,41.7,31.01,125,37.01,83.3,49.51,83.3,51.9,137.5
18.512,33.3,21.512,58.3,31.012,87.5,37.012,104.2,49.512,91.7,51.902,133.3
18.514,37.5,21.514,62.5,31.014,87.5,37.014,112.5,49.514,125,51.904,104.2
18.516,45.8,21.516,58.3,31.016,108.3,37.016,79.2,49.516,91.7,51.906,116.7
18.518,54.2,21.518,25,31.018,87.5,37.018,129.2,49.518,91.7,51.908,141.7
18.52,37.5,21.52,50,31.02,133.3,37.02,104.2,49.52,70.8,51.91,133.3
18.522,37.5,21.522,54.2,31.022,116.7,37.022,125,49.522,62.5,51.912,137.5
18.524,50,21.524,41.7,31.024,108.3,37.024,125,49.524,120.8,51.914,104.2
18.526,37.5,21.526,58.3,31.026,95.8,37.026,87.5,49.526,62.5,51.916,170.8
18.528,58.3,21.528,58.3,31.028,133.3,37.028,120.8,49.528,95.8,51.918,112.5
18.53,37.5,21.53,50,31.03,75,37.03,91.7,49.53,83.3,51.92,187.5
18.532,37.5,21.532,54.2,31.032,112.5,37.032,108.3,49.532,91.7,51.922,83.3
18.534,41.7,21.534,62.5,31.034,125,37.034,104.2,49.534,62.5,51.924,141.7
18.536,25,21.536,29.2,31.036,116.7,37.036,141.7,49.536,75,51.926,116.7
18.538,54.2,21.538,41.7,31.038,108.3,37.038,104.2,49.538,79.2,51.928,145.8
18.54,8.3,21.54,66.7,31.04,112.5,37.04,104.2,49.54,87.5,51.93,112.5
18.542,75,21.542,45.8,31.042,120.8,37.042,104.2,49.542,141.7,51.932,133.3
18.544,29.2,21.544,50,31.044,100,37.044,87.5,49.544,70.8,51.934,154.2
18.546,29.2,21.546,54.2,31.046,112.5,37.046,150,49.546,91.7,51.936,91.7
18.548,58.3,21.548,50,31.048,75,37.048,150,49.548,83.3,51.938,120.8
18.55,25,21.55,66.7,31.05,75,37.05,79.2,49.55,54.2,51.94,108.3
18.552,33.3,21.552,45.8,31.052,62.5,37.052,116.7,49.552,41.7,51.942,125
18.554,58.3,21.554,45.8,31.054,116.7,37.054,79.2,49.554,58.3,51.944,104.2
18.556,54.2,21.556,54.2,31.056,112.5,37.056,95.8,49.556,112.5,51.946,129.2
18.558,50,21.558,54.2,31.058,87.5,37.058,150,49.558,83.3,51.948,175
18.56,41.7,21.56,50,31.06,95.8,37.06,116.7,49.56,79.2,51.95,112.5
18.562,37.5,21.562,58.3,31.062,108.3,37.062,104.2,49.562,120.8,51.952,137.5
18.564,45.8,21.564,29.2,31.064,91.7,37.064,137.5,49.564,83.3,51.954,133.3
18.566,29.2,21.566,62.5,31.066,91.7,37.066,100,49.566,62.5,51.956,70.8
18.568,45.8,21.568,50,31.068,154.2,37.068,100,49.568,87.5,51.958,133.3
18.57,41.7,21.57,50,31.07,108.3,37.07,183.3,49.57,104.2,51.96,129.2
18.572,45.8,21.572,45.8,31.072,125,37.072,104.2,49.572,125,51.962,125
18.574,37.5,21.574,50,31.074,83.3,37.074,87.5,49.574,70.8,51.964,191.7
18.576,62.5,21.576,54.2,31.076,108.3,37.076,100,49.576,50,51.966,154.2
18.578,37.5,21.578,50,31.078,87.5,37.078,158.3,49.578,100,51.968,129.2
18.58,37.5,21.58,58.3,31.08,116.7,37.08,104.2,49.58,54.2,51.97,104.2
18.582,54.2,21.582,75,31.082,91.7,37.082,95.8,49.582,129.2,51.972,125
18.584,41.7,21.584,58.3,31.084,58.3,37.084,104.2,49.584,70.8,51.974,129.2
