110theta,110intensity,200theta,200intensity,211theta,211intensity,220theta,220intensity,310theta,310intensity,222theta,222intensity
19,375,27.5,166.666667,34,266.666667,40,204.166667,45,100,49.5,70.833333
19.002,416.666667,27.502,195.833333,34.002,275,40.002,141.666667,45.002,104.166667,49.502,137.5
19.004,283.333333,27.504,225,34.004,250,40.004,154.166667,45.004,91.666667,49.504,91.666667
19.006,241.666667,27.506,208.333333,34.006,270.833333,40.006,150,45.006,112.5,49.506,120.833333
19.008,333.333333,27.508,183.333333,34.008,316.666667,40.008,141.666667,45.008,125,49.508,87.5
19.01,450,27.51,137.5,34.01,245.833333,40.01,175,45.01,87.5,49.51,104.166667
19.012,354.166667,27.512,220.833333,34.012,250,40.012,150,45.012,104.166667,49.512,116.666667
19.014,304.166667,27.514,204.166667,34.014,200,40.014,116.666667,45.014,62.5,49.514,112.5
19.016,300,27.516,166.666667,34.016,220.833333,40.016,145.833333,45.016,129.166667,49.516,104.166667
19.018,425,27.518,216.666667,34.018,245.833333,40.018,183.333333,45.018,62.5,49.518,104.166667
19.02,366.666667,27.52,200,34.02,283.333333,40.02,129.166667,45.02,129.166667,49.52,100
19.022,270.833333,27.522,208.333333,34.022,287.5,40.022,158.333333,45.022,87.5,49.522,141.666667
19.024,300,27.524,179.166667,34.024,262.5,40.024,133.333333,45.024,75,49.524,116.666667
19.026,450,27.526,183.333333,34.026,245.833333,40.026,145.833333,45.026,100,49.526,125
19.028,362.5,27.528,179.166667,34.028,229.166667,40.028,116.666667,45.028,83.333333,49.528,116.666667
19.03,341.666667,27.53,158.333333,34.03,287.5,40.03,158.333333,45.03,120.833333,49.53,91.666667
19.032,329.166667,27.532,158.333333,34.032,250,40.032,137.5,45.032,95.833333,49.532,104.166667
19.034,433.333333,27.534,220.833333,34.034,241.666667,40.034,179.166667,45.034,70.833333,49.534,104.166667
19.036,329.166667,27.536,216.666667,34.036,345.833333,40.036,200,45.036,79.166667,49.536,79.166667
19.038,383.333333,27.538,179.166667,34.038,304.166667,40.038,150,45.038,108.333333,49.538,66.666667
19.04,320.833333,27.54,212.5,34.04,283.333333,40.04,195.833333,45.04,116.666667,49.54,58.333333
19.042,391.666667,27.542,204.166667,34.042,275,40.042,145.833333,45.042,87.5,49.542,91.666667
19.044,412.5,27.544,166.666667,34.044,237.5,40.044,162.5,45.044,83.333333,49.544,75
19.046,370.833333,27.546,212.5,34.046,291.666667,40.046,145.833333,45.046,104.166667,49.546,87.5
19.048,358.333333,27.548,187.5,34.048,270.833333,40.048,137.5,45.048,75,49.548,100
19.05,445.833333,27.55,179.166667,34.05,216.666667,40.05,141.666667,45.05,75,49.55,120.833333
19.052,420.833333,27.552,162.5,34.052,295.833333,40.052,170.833333,45.052,95.833333,49.552,95.833333
19.054,358.333333,27.554,125,34.054,266.666667,40.054,216.666667,45.054,83.333333,49.554,83.333333
19.056,275,27.556,175,34.056,262.5,40.056,104.166667,45.056,87.5,49.556,91.666667
19.058,341.666667,27.558,216.666667,34.058,308.333333,40.058,170.833333,45.058,108.333333,49.558,58.333333
19.06,429.166667,27.56,250,34.06,233.333333,40.06,187.5,45.06,66.666667,49.56,137.5
19.062,429.166667,27.562,166.666667,34.062,245.833333,40.062,133.333333,45.062,50,49.562,91.666667
19.064,333.333333,27.564,212.5,34.064,258.333333,40.064,95.833333,45.064,54.166667,49.564,133.333333
19.066,383.333333,27.566,187.5,34.066,262.5,40.066,216.666667,45.066,79.166667,49.566,108.333333
19.068,433.333333,27.568,154.166667,34.068,320.833333,40.068,204.166667,45.068,112.5,49.568,137.5
19.07,387.5,27.57,195.833333,34.07,312.5,40.07,166.666667,45.07,62.5,49.57,87.5
19.072,370.833333,27.572,233.333333,34.072,258.333333,40.072,137.5,45.072,66.666667,49.572,108.333333
19.074,320.833333,27.574,229.166667,34.074,283.333333,40.074,162.5,45.074,62.5,49.574,141.666667
19.076,466.666667,27.576,237.5,34.076,275,40.076,158.333333,45.076,95.833333,49.576,137.5
19.078,395.833333,27.578,166.666667,34.078,295.833333,40.078,137.5,45.078,87.5,49.578,75
19.08,404.166667,27.58,237.5,34.08,254.166667,40.08,150,45.08,100,49.58,83.333333
19.082,320.833333,27.582,179.166667,34.082,254.166667,40.082,137.5,45.082,120.833333,49.582,83.333333
19.084,454.166667,27.584,200,34.084,283.333333,40.084,141.666667,45.084,62.5,49.584,75
19.086,441.666667,27.586,195.833333,34.086,233.333333,40.086,137.5,45.086,100,49.586,91.666667
19.088,358.333333,27.588,208.333333,34.088,270.833333,40.088,125,45.088,87.5,49.588,112.5
19.09,354.166667,27.59,187.5,34.09,233.333333,40.09,191.666667,45.09,66.666667,49.59,108.333333
19.092,425,27.592,158.333333,34.092,262.5,40.092,145.833333,45.092,41.666667,49.592,91.666667
19.094,404.166667,27.594,195.833333,34.094,283.333333,40.094,145.833333,45.094,100,49.594,83.333333
19.096,333.333333,27.596,158.333333,34.096,354.166667,40.096,120.833333,45.096,87.5,49.596,104.166667
19.098,295.833333,27.598,183.333333,34.098,266.666667,40.098,145.833333,45.098,79.166667,49.598,91.666667
19.1,437.5,27.6,212.5,34.1,275,40.1,141.666667,45.1,91.666667,49.6,75
19.102,450,27.602,191.666667,34.102,270.833333,40.102,170.833333,45.102,83.333333,49.602,116.666667
19.104,404.166667,27.604,145.833333,34.104,250,40.104,145.833333,45.104,100,49.604,58.333333
19.106,395.833333,27.606,179.166667,34.106,266.666667,40.106,166.666667,45.106,87.5,49.606,95.833333
19.108,425,27.608,208.333333,34.108,270.833333,40.108,170.833333,45.108,91.666667,49.608,112.5
19.11,441.666667,27.61,216.666667,34.11,258.333333,40.11,170.833333,45.11,70.833333,49.61,120.833333
19.112,379.166667,27.612,200,34.112,279.166667,40.112,116.666667,45.112,95.833333,49.612,70.833333
19.114,337.5,27.614,216.666667,34.114,250,40.114,91.666667,45.114,54.166667,49.614,108.333333
19.116,445.833333,27.616,241.666667,34.116,295.833333,40.116,158.333333,45.116,87.5,49.616,108.333333
19.118,441.666667,27.618,204.166667,34.118,270.833333,40.118,179.166667,45.118,95.833333,49.618,87.5
19.12,337.5,27.62,145.833333,34.12,258.333333,40.12,120.833333,45.12,95.833333,49.62,129.166667
19.122,316.666667,27.622,204.166667,34.122,287.5,40.122,187.5,45.122,70.833333,49.622,137.5
19.124,320.833333,27.624,187.5,34.124,245.833333,40.124,166.666667,45.124,66.666667,49.624,100
19.126,425,27.626,183.333333,34.126,275,40.126,133.333333,45.126,112.5,49.626,87.5
19.128,366.666667,27.628,150,34.128,279.166667,40.128,125,45.128,75,49.628,87.5
19.13,416.666667,27.63,200,34.13,266.666667,40.13,133.333333,45.13,79.166667,49.63,91.666667
19.132,287.5,27.632,258.333333,34.132,275,40.132,133.333333,45.132,66.666667,49.632,87.5
19.134,470.833333,27.634,212.5,34.134,333.333333,40.134,125,45.134,75,49.634,100
19.136,425,27.636,220.833333,34.136,275,40.136,175,45.136,75,49.636,79.166667
19.138,495.833333,27.638,183.333333,34.138,345.833333,40.138,145.833333,45.138,66.666667,49.638,70.833333
19.14,379.166667,27.64,187.5,34.14,312.5,40.14,150,45.14,70.833333,49.64,95.833333
19.142,450,27.642,175,34.142,266.666667,40.142,112.5,45.142,91.666667,49.642,108.333333
19.144,450,27.644,154.166667,34.144,295.833333,40.144,166.666667,45.144,141.666667,49.644,104.166667
19.146,329.166667,27.646,191.666667,34.146,250,40.146,133.333333,45.146,104.166667,49.646,58.333333
19.148,350,27.648,158.333333,34.148,254.166667,40.148,191.666667,45.148,100,49.648,108.333333
19.15,558.333333,27.65,233.333333,34.15,191.666667,40.15,200,45.15,79.166667,49.65,83.333333
19.152,475,27.652,150,34.152,270.833333,40.152,166.666667,45.152,66.666667,49.652,125
19.154,325,27.654,216.666667,34.154,254.166667,40.154,166.666667,45.154,116.666667,49.654,95.833333
19.156,391.666667,27.656,200,34.156,270.833333,40.156,179.166667,45.156,75,49.656,95.833333
19.158,387.5,27.658,204.166667,34.158,279.166667,40.158,170.833333,45.158,108.333333,49.658,95.833333
19.16,500,27.66,212.5,34.16,258.333333,40.16,150,45.16,62.5,49.66,91.666667
19.162,400,27.662,254.166667,34.162,191.666667,40.162,112.5,45.162,108.333333,49.662,108.333333
19.164,345.833333,27.664,195.833333,34.164,279.166667,40.164,158.333333,45.164,87.5,49.664,108.333333
19.166,400,27.666,237.5,34.166,287.5,40.166,187.5,45.166,116.666667,49.666,108.333333
19.168,483.333333,27.668,241.666667,34.168,295.833333,40.168,129.166667,45.168,95.833333,49.668,83.333333
19.17,358.333333,27.67,154.166667,34.17,254.166667,40.17,129.166667,45.17,79.166667,49.67,120.833333
19.172,395.833333,27.672,212.5,34.172,275,40.172,175,45.172,125,49.672,83.333333
19.174,370.833333,27.674,225,34.174,279.166667,40.174,162.5,45.174,91.666667,49.674,129.166667
19.176,495.833333,27.676,145.833333,34.176,241.666667,40.176,104.166667,45.176,83.333333,49.676,70.833333
19.178,454.166667,27.678,237.5,34.178,320.833333,40.178,187.5,45.178,116.666667,49.678,87.5
19.18,404.166667,27.68,158.333333,34.18,266.666667,40.18,141.666667,45.18,79.166667,49.68,95.833333
19.182,312.5,27.682,212.5,34.182,308.333333,40.182,175,45.182,58.333333,49.682,100
19.184,508.333333,27.684,241.666667,34.184,320.833333,40.184,150,45.184,75,49.684,70.833333
19.186,454.166667,27.686,166.666667,34.186,375,40.186,141.666667,45.186,133.333333,49.686,91.666667
19.188,441.666667,27.688,150,34.188,304.166667,40.188,112.5,45.188,112.5,49.688,62.5
19.19,362.5,27.69,204.166667,34.19,362.5,40.19,125,45.19,95.833333,49.69,104.166667
19.192,504.166667,27.692,216.666667,34.192,250,40.192,137.5,45.192,95.833333,49.692,120.833333
19.194,466.666667,27.694,212.5,34.194,287.5,40.194,158.333333,45.194,112.5,49.694,95.833333
19.196,362.5,27.696,162.5,34.196,300,40.196,125,45.196,112.5,49.696,104.166667
19.198,425,27.698,216.666667,34.198,283.333333,40.198,170.833333,45.198,79.166667,49.698,120.833333
19.2,391.666667,27.7,245.833333,34.2,208.333333,40.2,162.5,45.2,104.166667,49.7,70.833333
19.202,500,27.702,233.333333,34.202,329.166667,40.202,166.666667,45.202,112.5,49.702,108.333333
19.204,475,27.704,208.333333,34.204,225,40.204,150,45.204,95.833333,49.704,108.333333
19.206,404.166667,27.706,275,34.206,333.333333,40.206,133.333333,45.206,125,49.706,83.333333
19.208,466.666667,27.708,195.833333,34.208,295.833333,40.208,204.166667,45.208,95.833333,49.708,137.5
19.21,508.333333,27.71,208.333333,34.21,266.666667,40.21,187.5,45.21,83.333333,49.71,87.5
19.212,483.333333,27.712,212.5,34.212,258.333333,40.212,179.166667,45.212,75,49.712,116.666667
19.214,408.333333,27.714,237.5,34.214,287.5,40.214,137.5,45.214,104.166667,49.714,83.333333
19.216,420.833333,27.716,187.5,34.216,266.666667,40.216,129.166667,45.216,104.166667,49.716,116.666667
19.218,475,27.718,225,34.218,337.5,40.218,158.333333,45.218,91.666667,49.718,83.333333
19.22,537.5,27.72,216.666667,34.22,225,40.22,166.666667,45.22,62.5,49.72,120.833333
19.222,391.666667,27.722,262.5,34.222,266.666667,40.222,129.166667,45.222,108.333333,49.722,137.5
19.224,370.833333,27.724,204.166667,34.224,325,40.224,137.5,45.224,83.333333,49.724,79.166667
19.226,508.333333,27.726,254.166667,34.226,291.666667,40.226,158.333333,45.226,100,49.726,91.666667
19.228,475,27.728,162.5,34.228,212.5,40.228,145.833333,45.228,83.333333,49.728,125
19.23,375,27.73,229.166667,34.23,287.5,40.23,120.833333,45.23,58.333333,49.73,108.333333
19.232,445.833333,27.732,200,34.232,295.833333,40.232,141.666667,45.232,116.666667,49.732,79.166667
