noise,a_ka1,b_ka2,c_ka2,2theta,FWHM,thetas,intensity
127.32614512250386,2927.654391268733,32.368937482581245,0.04192439906900791,32.368937482581245,0.05811955802270566,31.06,0.0
,,,,,,31.07,0.0
,,,,,,31.08,0.0
,,,,,,31.09,0.0
,,,,,,31.1,0.0
,,,,,,31.11,0.0
,,,,,,31.12,0.0
,,,,,,31.13,0.0
,,,,,,31.14,0.0
,,,,,,31.15,0.0
,,,,,,31.16,0.0
,,,,,,31.17,0.0
,,,,,,31.18,0.0
,,,,,,31.19,0.0
,,,,,,31.2,0.0
,,,,,,31.21,0.0
,,,,,,31.22,0.0
,,,,,,31.23,8.910153e-318
,,,,,,31.24,3.580413244484e-312
,,,,,,31.25,1.2827712178694613e-306
,,,,,,31.26,4.101547799856873e-301
,,,,,,31.27,1.1703853187053569e-295
,,,,,,31.28,2.9805229574171464e-290
,,,,,,31.29,6.77389709923466e-285
,,,,,,31.3,1.3739383206993857e-279
,,,,,,31.31,2.4870149507972136e-274
,,,,,,31.32,4.017649750481799e-269
,,,,,,31.33,5.792262937690647e-264
,,,,,,31.34,7.452585738857798e-259
,,,,,,31.35,8.557525693381584e-254
,,,,,,31.36,8.769442002778145e-249
,,,,,,31.37,8.020071248454625e-244
,,,,,,31.38,6.545864491298718e-239
,,,,,,31.39,4.7680226789500275e-234
,,,,,,31.4,3.099503507497695e-229
,,,,,,31.41,1.7981605676319032e-224
,,,,,,31.42,9.309949494791697e-220
,,,,,,31.43,4.301784972873827e-215
,,,,,,31.44,1.773914113745701e-210
,,,,,,31.45,6.528283377558431e-206
,,,,,,31.46,2.1441142561815688e-201
,,,,,,31.47,6.284625002172181e-197
,,,,,,31.48,1.6439678915352167e-192
,,,,,,31.49,3.8378660344310484e-188
,,,,,,31.5,7.99592678624068e-184
,,,,,,31.51,1.4867239051647916e-179
,,,,,,31.52,2.4670295869988262e-175
,,,,,,31.53,3.6534309979085034e-171
,,,,,,31.54,4.828474902329317e-167
,,,,,,31.55,5.695102767041524e-163
,,,,,,31.56,5.994813407624701e-159
,,,,,,31.57,5.631606382664589e-155
,,,,,,31.58,4.721406926330952e-151
,,,,,,31.59,3.532588826622059e-147
,,,,,,31.6,2.3588333910461287e-143
,,,,,,31.61,1.4056718919080883e-139
,,,,,,31.62,7.475722505845019e-136
,,,,,,31.63,3.548173938546798e-132
,,,,,,31.64,1.5029313682528202e-128
,,,,,,31.65,5.681407155228103e-125
,,,,,,31.66,1.916704651137012e-121
,,,,,,31.67,5.770812945637665e-118
,,,,,,31.68,1.5506054848351238e-114
,,,,,,31.69,3.718331896704608e-111
,,,,,,31.7,7.957515737405229e-108
,,,,,,31.71,1.5198102811672404e-104
,,,,,,31.72,2.5905010210191237e-101
,,,,,,31.73,3.9405847774254394e-98
,,,,,,31.74,5.349585101039221e-95
,,,,,,31.75,6.481298801481856e-92
,,,,,,31.76,7.007877550779543e-89
,,,,,,31.77,6.762285204828151e-86
,,,,,,31.78,5.8234852542261086e-83
,,,,,,31.79,4.475638432729819e-80
,,,,,,31.8,3.0697960768308438e-77
,,,,,,31.81,1.879085653313937e-74
,,,,,,31.82,1.0265169965431051e-71
,,,,,,31.83,5.004586847788299e-69
,,,,,,31.84,2.1774732763041547e-66
,,,,,,31.85,8.45512348954274e-64
,,,,,,31.86,2.930013315811616e-61
,,,,,,31.87,9.061534556035618e-59
,,,,,,31.88,2.5010157442008537e-56
,,,,,,31.89,6.160466754417692e-54
,,,,,,31.9,1.3542328005711433e-51
