200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity
21.47,0.0,31.06,0.0,37.0,1.4727343294754373e-243,50.0,2.2522756099484163e-136
21.48,0.0,31.07,0.0,37.01,2.4945569272257674e-239,50.01,2.6224245270825843e-133
21.49,0.0,31.08,0.0,37.02,3.88314849650666e-235,50.02,2.8211547056632455e-130
21.5,0.0,31.09,0.0,37.03,5.555154590639409e-231,50.03,2.8040983834226402e-127
21.51,2.185e-320,31.1,0.0,37.04,7.303480434142297e-227,50.04,2.5751470371497434e-124
21.52,4.63622725e-315,31.11,0.0,37.05,8.824399510275878e-223,50.05,2.1850091321194943e-121
21.53,8.42425379901353e-310,31.12,0.0,37.06,9.798554764903708e-219,50.06,1.7129588151003864e-118
21.54,1.3832928554632922e-304,31.13,0.0,37.07,9.99908953941102e-215,50.07,1.240746407152391e-115
21.55,2.0526389263769474e-299,31.14,0.0,37.08,9.377357240362946e-211,50.08,8.303507291876349e-113
21.56,2.75249616621991e-294,31.15,0.0,37.09,8.082059358314968e-207,50.09,5.1343155516973574e-110
21.57,3.3354667845548235e-289,31.16,0.0,37.1,6.40155057599522e-203,50.1,2.9332290801408347e-107
21.58,3.652601162353373e-284,31.17,0.0,37.11,4.659828110872737e-199,50.11,1.548288355130787e-104
21.59,3.6146281054394385e-279,31.18,0.0,37.12,3.117282659028872e-195,50.12,7.55092493682086e-102
21.6,3.2325163081571525e-274,31.19,0.0,37.13,1.9164788950192263e-191,50.13,3.402443316179714e-99
21.61,2.612363236792241e-269,31.2,0.0,37.14,1.0828130197206882e-187,50.14,1.416524480776813e-96
21.62,1.9078408238631552e-264,31.21,0.0,37.15,5.622435317501256e-184,50.15,5.448785486233978e-94
21.63,1.2591180421117642e-259,31.22,0.0,37.16,2.6829775416429718e-180,50.16,1.936501227074092e-91
21.64,7.509421675541912e-255,31.23,8.910153e-318,37.17,1.1766063219601123e-176,50.17,6.358845640176225e-89
21.65,4.047270878025246e-250,31.24,3.580413244484e-312,37.18,4.742058293968328e-173,50.18,1.9292176608833698e-86
21.66,1.9712140573699515e-245,31.25,1.2827712178694604e-306,37.19,1.756402999300091e-169,50.19,5.407874636669038e-84
21.67,8.676029868219789e-241,31.26,4.1015477998568705e-301,37.2,5.978648520342366e-166,50.2,1.4006010317375847e-81
21.68,3.4508336527534276e-236,31.27,1.1703853187053562e-295,37.21,1.870266286799e-162,50.21,3.351542327482217e-79
21.69,1.2403457023199209e-231,31.28,2.9805229574171447e-290,37.22,5.37681927312238e-159,50.22,7.40998647602069e-77
21.7,4.0288138654224627e-227,31.29,6.773897099234656e-285,37.23,1.4205908188922529e-155,50.23,1.5136747354537095e-74
21.71,1.1825714646753193e-222,31.3,1.3739383206993847e-279,37.24,3.44932517946443e-152,50.24,2.8568678337825115e-72
21.72,3.13684690187517e-218,31.31,2.4870149507972126e-274,37.25,7.696988621582023e-149,50.25,4.9818446002119235e-70
21.73,7.519257986780615e-214,31.32,4.017649750481796e-269,37.26,1.5784437909730069e-145,50.26,8.026618904380142e-68
21.74,1.6288173398394403e-209,31.33,5.792262937690645e-264,37.27,2.9748081891995453e-142,50.27,1.1948614536561112e-65
21.75,3.1884933652427837e-205,31.34,7.452585738857794e-259,37.28,5.152409666367249e-139,50.28,1.643406114372049e-63
21.76,5.6404582185858015e-201,31.35,8.55752569338158e-254,37.29,8.201312775512305e-136,50.29,2.0884048160084235e-61
21.77,9.0169360759864e-197,31.36,8.769442002778141e-249,37.3,1.199714573295846e-132,50.3,2.452036404859075e-59
21.78,1.3026247646677875e-192,31.37,8.020071248454621e-244,37.31,1.6128503191421285e-129,50.31,2.659999662999066e-57
21.79,1.7005734929831674e-188,31.38,6.545864491298714e-239,37.32,1.9926534033371675e-126,50.32,2.6661138413206887e-55
21.8,2.0062600057555433e-184,31.39,4.768022678950026e-234,37.33,2.2625127578487597e-123,50.33,2.4689837845301693e-53
21.81,2.1389210833347496e-180,31.4,3.099503507497693e-229,37.34,2.3608689423646378e-120,50.34,2.1125170647470425e-51
21.82,2.0607155217816643e-176,31.41,1.7981605676319024e-224,37.35,2.2639888930684204e-117,50.35,1.6700314665124923e-49
21.83,1.794143014991876e-172,31.42,9.309949494791692e-220,37.36,1.995254392337547e-114,50.36,1.2198081271281258e-47
21.84,1.4116005220278208e-168,31.43,4.3017849728738247e-215,37.37,1.6160092035873772e-111,50.37,8.231914122866947e-46
21.85,1.0036500193284755e-164,31.44,1.7739141137457002e-210,37.38,1.2028485663430586e-108,50.38,5.132779169844582e-44
21.86,6.448645743893214e-161,31.45,6.528283377558429e-206,37.39,8.228101693866921e-106,50.39,2.9569689798747104e-42
21.87,3.7442986155337525e-157,31.46,2.1441142561815677e-201,37.4,5.172612167877491e-103,50.4,1.5739226942824384e-40
21.88,1.9646634708619027e-153,31.47,6.284625002172178e-197,37.41,2.988420825678131e-100,50.41,7.740383286452194e-39
21.89,9.315830944088535e-150,31.48,1.643967891535216e-192,37.42,1.5867012435911344e-97,50.42,3.5170939996588957e-37
21.9,3.991818278170036e-146,31.49,3.837866034431046e-188,37.43,7.742302589666798e-95,50.43,1.4765492077166074e-35
21.91,1.545737209310357e-142,31.5,7.995926786240677e-184,37.44,3.471895859946355e-92,50.44,5.727357787415968e-34
21.92,5.40899146143357e-139,31.51,1.4867239051647907e-179,37.45,1.4308193670083104e-89,50.45,2.0525944193049481e-32
21.93,1.7104589884629146e-135,31.52,2.4670295869988257e-175,37.46,5.419066751597986e-87,50.46,6.796642289599266e-31
21.94,4.887927669388985e-132,31.53,3.6534309979085024e-171,37.47,1.8861914072465479e-84,50.47,2.0793525204118668e-29
21.95,1.2622710187279936e-128,31.54,4.828474902329315e-167,37.48,6.033489956757576e-82,50.48,5.877657466421802e-28
21.96,2.945752038195507e-125,31.55,5.695102767041523e-163,37.49,1.773670721117236e-79,50.49,1.5350511911094646e-26
21.97,6.21234402518634e-122,31.56,5.994813407624698e-159,37.5,4.791803169852852e-77,50.5,3.7041101512111823e-25
