111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity,400thetas,400intensity
18.48,0.16588999145560215,21.5,0.21516730864816286,31.5,3.31599186662222,37.0,1.01444593425036,50.0,0.7393281107132872,51.76,2.486575296664137
18.49,0.16874258196429515,21.51,0.2187019959319478,31.51,3.392799405510752,37.01,1.03205475119923,50.01,0.7558560666879833,51.77,2.576120975596934
18.5,0.17166937663614926,21.52,0.22232448349359712,31.52,3.4723054950237024,37.02,1.050125905450091,50.02,0.772944116389047,51.78,2.6705795887981094
18.51,0.17467297123348094,21.53,0.2260377028039531,31.53,3.5546379828250343,37.03,1.068675719696404,50.03,0.7906178370431964,51.79,2.770316236456844
18.52,0.17775607600448134,21.54,0.22984470867808945,31.54,3.639932374562456,37.04,1.0877212431217589,50.04,0.8089042816286798,51.8,2.875730477508728
18.53,0.18092152179534435,21.55,0.2337486855543851,31.55,3.728332390694737,37.05,1.107280290535582,50.05,0.8278320821647619,51.81,2.9872602955179244
18.54,0.18417226654643007,21.56,0.2377529541495945,31.56,3.8199905711078364,37.06,1.1273714839898792,50.06,0.8474315615282375,51.82,3.105386605758587
18.55,0.18751140220031431,21.57,0.2418609785159054,31.57,3.9150689322637326,37.07,1.1480142970581797,50.07,0.8677348546102355,51.83,3.230638389289167
18.56,0.19094216205179967,21.58,0.2460763735279235,31.58,4.013739682159793,37.08,1.169229101973252,50.08,0.888776039715237,51.84,3.363598555363507
18.57,0.19446792857253656,21.59,0.2504029128298177,31.59,4.116185998982495,37.09,1.1910372198361423,50.09,0.9105912812027751,51.85,3.5049106522625535
18.58,0.1980922417455554,21.6,0.2548445372751803,31.6,4.222602880019038,37.1,1.2134609741274065,50.1,0.9332189844839324,51.86,3.6552865692828
18.59,0.20181880794807985,21.61,0.25940536389485397,31.61,4.3331980681628,37.11,1.2365237477711657,50.11,0.9566999646099532,51.87,3.815515400095395
18.6,0.20565150942418256,21.62,0.2640896954307859,31.62,4.448193064219782,37.12,1.2602500440237143,50.12,0.981077629830841,51.88,3.9864736711539783
18.61,0.20959441439249893,21.63,0.2689020304770814,31.63,4.567824234212226,37.13,1.2846655514825978,50.13,1.0063981816614338,51.89,4.169137179723423
18.62,0.2136517878381036,21.64,0.2738470742728882,31.64,4.692344022000213,37.14,1.30979721353761,50.14,1.032710833171721,51.9,4.3645947362879625
18.63,0.21782810304196465,21.65,0.2789297501953709,31.65,4.822022278817466,37.15,1.3356733026141239,50.15,1.0600680474219843,51.91,4.574064167921684
18.64,0.22212805390617985,21.66,0.2841552120051996,31.66,4.957147722775966,37.16,1.3623234995898934,50.16,1.088525798193149,51.92,4.798911015709719
18.65,0.2265565681383313,21.67,0.2895288569013217,31.67,5.098029543052776,37.17,1.3897789788015942,50.17,1.1181438554249006,51.93,5.040670454376238
18.66,0.23111882136412204,21.68,0.29505633944675075,31.68,5.244999165374571,37.18,1.4180724990948508,50.18,1.1489860980709308,51.94,5.301073080970358
