noise,a_ka1,b_ka2,c_ka2,2theta,FWHM,thetas,intensity
1369.3860744467788,54877.296365266404,20.160207804096135,0.06144110206337639,20.160207804096135,0.08517545333145037,19.0,7.583718713183266e-151
,,,,,,19.002,2.590148748556238e-150
,,,,,,19.004,8.82768521224232e-150
,,,,,,19.006,3.0022621682460372e-149
,,,,,,19.008,1.0188964104979484e-148
,,,,,,19.01,3.4505719997061784e-148
,,,,,,19.012,1.1660892681830007e-147
,,,,,,19.014,3.932349825242423e-147
,,,,,,19.016,1.3232811826217467e-146
,,,,,,19.018,4.443567385176442e-146
,,,,,,19.02,1.488987484039856e-145
,,,,,,19.022000000000002,4.978860601097357e-145
,,,,,,19.024,1.6613017777680625e-144
,,,,,,19.026,5.531548640919133e-144
,,,,,,19.028,1.8379114548537745e-143
,,,,,,19.03,6.093714127408656e-143
,,,,,,19.032,2.016133154019482e-142
,,,,,,19.034000000000002,6.656347542658445e-142
,,,,,,19.035999999999998,2.1929685852394928e-141
,,,,,,19.038,7.209555250476666e-141
,,,,,,19.04,2.36517991029254e-140
,,,,,,19.042,7.742826567798317e-140
,,,,,,19.044,2.5293825886814295e-139
,,,,,,19.046,8.245351243676856e-139
,,,,,,19.048,2.6821523335530033e-138
,,,,,,19.05,8.70637486400454e-138
,,,,,,19.052,2.8201416824245345e-137
,,,,,,19.054000000000002,9.115576411384694e-137
,,,,,,19.055999999999997,2.9402007716442487e-136
,,,,,,19.058,9.463449775944346e-136
,,,,,,19.06,3.0394962996219186e-135
,,,,,,19.062,9.741669679530308e-135
,,,,,,19.064,3.1156224382058813e-134
,,,,,,19.066,9.943422413972491e-134
,,,,,,19.067999999999998,3.1666976438035053e-133
,,,,,,19.07,1.0063683073977845e-132
,,,,,,19.072,3.1914419334784434e-132
,,,,,,19.074,1.0099423542569407e-131
,,,,,,19.076,3.1892301959445277e-131
,,,,,,19.078,1.0049739212006158e-130
,,,,,,19.08,3.1601184377988414e-130
,,,,,,19.082,9.915887036590465e-130
,,,,,,19.084,3.104841426486493e-129
,,,,,,19.086,9.701232682451629e-129
,,,,,,19.088,3.0247818684192964e-128
,,,,,,19.09,9.41110987708492e-128
,,,,,,19.092,2.921912927363342e-127
,,,,,,19.094,9.052600163800046e-127
,,,,,,19.096,2.7987174190112782e-126
,,,,,,19.098,8.634245757029237e-126
,,,,,,19.1,2.6580883004294025e-125
,,,,,,19.102,8.165711745296087e-125
,,,,,,19.104,2.503216017602741e-124
,,,,,,19.105999999999998,7.657416262198124e-124
,,,,,,19.108,2.3374688201268174e-123
,,,,,,19.11,7.12014830604984e-123
,,,,,,19.112000000000002,2.1642722745093595e-122
,,,,,,19.114,6.564692610672651e-122
,,,,,,19.116,1.9869939169176566e-121
,,,,,,19.118,6.001479443755072e-121
,,,,,,19.12,1.8088383257210896e-120
,,,,,,19.122,5.44027461579842e-120
,,,,,,19.124000000000002,1.632756935310191e-119
,,,,,,19.125999999999998,4.8899215829517623e-119
,,,,,,19.128,1.4613757457680508e-118
,,,,,,19.13,4.358143626414909e-118
,,,,,,19.132,1.2969428082920568e-117
,,,,,,19.134,3.851410010664521e-117
,,,,,,19.136,1.1412960851070319e-116
,,,,,,19.137999999999998,3.374866073821889e-116
,,,,,,19.14,9.958510874393984e-116
,,,,,,19.142,2.9323236539915465e-115
,,,,,,19.144000000000002,8.61606662335199e-115
,,,,,,19.146,2.5263053179485666e-114
,,,,,,19.148,7.391664851292216e-114
,,,,,,19.15,2.1581336729108675e-113
,,,,,,19.152,6.287732510800583e-113
,,,,,,19.154,1.8280556726653617e-112
,,,,,,19.156,5.30352256302268e-112
,,,,,,19.158,1.5353912696280722e-111
,,,,,,19.16,4.4356100201222594e-111
,,,,,,19.162,1.2786959450369004e-110
,,,,,,19.164,3.6784161701259335e-110
,,,,,,19.166,1.0559274529547567e-109
,,,,,,19.168,3.024732288563839e-109
,,,,,,19.17,8.646083920984317e-109
,,,,,,19.172,2.4662187418797717e-108
,,,,,,19.174,7.01977810154439e-108
,,,,,,19.176,1.9938607188878028e-107
,,,,,,19.178,5.651267875226482e-107
,,,,,,19.18,1.5983673997226795e-106
,,,,,,19.182000000000002,4.511146961429228e-106
,,,,,,19.184,1.2705067623399568e-105
,,,,,,19.186,3.570644633495827e-105
,,,,,,19.188,1.0013731004629911e-104
,,,,,,19.19,2.802366001516384e-104
,,,,,,19.192,7.825884482644325e-104
,,,,,,19.194000000000003,2.1808292007422712e-103
,,,,,,19.195999999999998,6.064423433816872e-103
,,,,,,19.198,1.682817516368396e-102
,,,,,,19.2,4.659766701663166e-102
,,,,,,19.202,1.2875703473229927e-101
,,,,,,19.204,3.550237460092061e-101
,,,,,,19.206,9.768401033787209e-101
,,,,,,19.208,2.682064406798495e-100
,,,,,,19.21,7.348430103109209e-100
,,,,,,19.212,2.009090848823992e-99
,,,,,,19.214000000000002,5.481308255494768e-99
,,,,,,19.215999999999998,1.4922738216025613e-98
,,,,,,19.218,4.054081334127934e-98
,,,,,,19.22,1.0990464237213999e-97
,,,,,,19.222,2.973166703342636e-97
,,,,,,19.224,8.026054908944235e-97
,,,,,,19.226,2.1620445356892135e-96
,,,,,,19.227999999999998,5.8117481741720204e-96
,,,,,,19.23,1.5589370655786232e-95
,,,,,,19.232,4.172823555073525e-95
,,,,,,19.234,1.1145796322318993e-94
,,,,,,19.236,2.9707891342959615e-94
,,,,,,19.238,7.901548208276967e-94
,,,,,,19.24,2.097163084904319e-93
,,,,,,19.242,5.554332288123566e-93
,,,,,,19.244,1.4679496316152547e-92
,,,,,,19.246,3.871418256607263e-92
,,,,,,19.248,1.0188463084673384e-91
,,,,,,19.25,2.675635205944085e-91
,,,,,,19.252,7.011723314282234e-91
,,,,,,19.254,1.8335902117157808e-90
,,,,,,19.256,4.784752042625074e-90
,,,,,,19.258,1.24593743349364e-89
,,,,,,19.26,3.237521601734179e-89
,,,,,,19.262,8.394769163579078e-89
,,,,,,19.264,2.1721233554304817e-88
,,,,,,19.266,5.608411292575231e-88
,,,,,,19.268,1.4450233600917487e-87
,,,,,,19.27,3.715262668665642e-87
,,,,,,19.272000000000002,9.531995368071324e-87
,,,,,,19.274,2.4403817276207188e-86
,,,,,,19.276,6.2346395398637e-86
,,,,,,19.278,1.589441607242412e-85
,,,,,,19.28,4.043500009677736e-85
,,,,,,19.282,1.0264787486439735e-84
,,,,,,19.284000000000002,2.6002919985956376e-84
,,,,,,19.285999999999998,6.573155701101115e-84
,,,,,,19.288,1.6580795496876836e-83
,,,,,,19.29,4.173654060096136e-83
,,,,,,19.292,1.0483521211515613e-82
,,,,,,19.294,2.6277107059410067e-82
,,,,,,19.296,6.572454159823958e-82
,,,,,,19.298,1.6404281909084847e-81
,,,,,,19.3,4.0857004780104825e-81
,,,,,,19.302,1.0154428121761357e-80
,,,,,,19.304000000000002,2.5183962105301394e-80
,,,,,,19.305999999999997,6.232643516751919e-80
,,,,,,19.308,1.5392180979184577e-79
,,,,,,19.31,3.7932169069069455e-79
,,,,,,19.312,9.328135309743148e-79
,,,,,,19.314,2.289083525189224e-78
,,,,,,19.316,5.605419052270952e-78
,,,,,,19.317999999999998,1.3697274961414323e-77
,,,,,,19.32,3.3399495406439704e-77
,,,,,,19.322,8.126906819854352e-77
,,,,,,19.324,1.9732871966842118e-76
,,,,,,19.326,4.781178510120636e-76
,,,,,,19.328,1.1560038024667345e-75
,,,,,,19.33,2.7890943727618023e-75
,,,,,,19.332,6.715012096042479e-75
,,,,,,19.334,1.6132810489315953e-74
,,,,,,19.336,3.8677011371684345e-74
,,,,,,19.338,9.252847983051834e-74
,,,,,,19.34,2.2089078017701886e-73
