111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
18.5,85,21.5,77,31.5,132,37,86,50,96,51.76,103
18.51,76,21.51,78,31.51,131,37.01,87,50.01,94,51.77,116
18.52,71,21.52,88,31.52,123,37.02,87,50.02,94,51.78,90
18.53,76,21.53,76,31.53,116,37.03,98,50.03,100,51.79,99
18.54,71,21.54,83,31.54,138,37.04,104,50.04,108,51.8,101
18.55,82,21.55,73,31.55,140,37.05,102,50.05,93,51.81,106
18.56,74,21.56,69,31.56,115,37.06,108,50.06,77,51.82,109
18.57,81,21.57,67,31.57,103,37.07,91,50.07,97,51.83,104
18.58,92,21.58,69,31.58,115,37.08,92,50.08,91,51.84,111
18.59,77,21.59,79,31.59,118,37.09,100,50.09,98,51.85,102
18.6,65,21.6,84,31.6,118,37.1,99,50.1,98,51.86,104
18.61,88,21.61,89,31.61,126,37.11,96,50.11,98,51.87,114
18.62,70,21.62,90,31.62,109,37.12,102,50.12,105,51.88,103
18.63,77,21.63,87,31.63,121,37.13,111,50.13,97,51.89,95
18.64,74,21.64,85,31.64,112,37.14,96,50.14,108,51.9,107
18.65,74,21.65,67,31.65,126,37.15,108,50.15,105,51.91,105
18.66,82,21.66,84,31.66,120,37.16,98,50.16,112,51.92,100
18.67,74,21.67,76,31.67,125,37.17,86,50.17,104,51.93,85
18.68,66,21.68,62,31.68,124,37.18,115,50.18,103,51.94,96
18.69,74,21.69,89,31.69,127,37.19,105,50.19,98,51.95,99
18.7,74,21.7,86,31.7,118,37.2,90,50.2,94,51.96,115
18.71,75,21.71,74,31.71,117,37.21,102,50.21,101,51.97,111
18.72,79,21.72,79,31.72,131,37.22,98,50.22,89,51.98,122
18.73,82,21.73,92,31.73,131,37.23,93,50.23,111,51.99,117
18.74,77,21.74,91,31.74,130,37.24,104,50.24,99,52,96
18.75,83,21.75,93,31.75,121,37.25,94,50.25,96,52.01,101
18.76,78,21.76,72,31.76,139,37.26,89,50.26,104,52.02,114
18.77,79,21.77,71,31.77,148,37.27,111,50.27,88,52.03,107
18.78,92,21.78,79,31.78,138,37.28,92,50.28,93,52.04,109
18.79,63,21.79,67,31.79,126,37.29,110,50.29,120,52.05,118
18.8,79,21.8,85,31.8,149,37.3,93,50.3,112,52.06,108
18.81,78,21.81,73,31.81,134,37.31,94,50.31,104,52.07,124
18.82,64,21.82,74,31.82,143,37.32,118,50.32,91,52.08,121
18.83,80,21.83,77,31.83,132,37.33,91,50.33,88,52.09,109
18.84,71,21.84,83,31.84,126,37.34,117,50.34,114,52.1,129
18.85,87,21.85,78,31.85,120,37.35,97,50.35,96,52.11,130
18.86,96,21.86,73,31.86,121,37.36,93,50.36,100,52.12,125
18.87,85,21.87,87,31.87,134,37.37,96,50.37,93,52.13,120
18.88,68,21.88,92,31.88,135,37.38,115,50.38,91,52.14,122
18.89,64,21.89,89,31.89,124,37.39,107,50.39,100,52.15,120
18.9,76,21.9,84,31.9,119,37.4,112,50.4,115,52.16,151
18.91,83,21.91,89,31.91,124,37.41,115,50.41,93,52.17,136
18.92,91,21.92,98,31.92,123,37.42,97,50.42,92,52.18,124
18.93,85,21.93,91,31.93,144,37.43,94,50.43,111,52.19,144
18.94,67,21.94,87,31.94,152,37.44,98,50.44,115,52.2,160
18.95,66,21.95,80,31.95,130,37.45,92,50.45,103,52.21,157
18.96,70,21.96,91,31.96,134,37.46,101,50.46,96,52.22,162
18.97,82,21.97,100,31.97,127,37.47,103,50.47,98,52.23,178
18.98,71,21.98,86,31.98,122,37.48,100,50.48,94,52.24,183
18.99,87,21.99,86,31.99,123,37.49,86,50.49,98,52.25,196
19,75,22,83,32,122,37.5,105,50.5,94,52.26,211
19.01,81,22.01,84,32.01,134,37.51,89,50.51,107,52.27,260
19.02,78,22.02,86,32.02,136,37.52,81,50.52,105,52.28,277
19.03,83,22.03,78,32.03,137,37.53,86,50.53,108,52.29,309
19.04,80,22.04,85,32.04,135,37.54,108,50.54,97,52.3,328
19.05,71,22.05,95,32.05,132,37.55,112,50.55,99,52.31,340
19.06,84,22.06,92,32.06,141,37.56,122,50.56,109,52.32,335
19.07,85,22.07,88,32.07,149,37.57,93,50.57,120,52.33,347
19.08,75,22.08,94,32.08,139,37.58,101,50.58,107,52.34,343
