111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity,400thetas,400intensity
18.5,0.22469975802052045,21.47,0.6970835224706137,31.06,3.002250744665462,37.0,2.0836275532540323,50.0,1.565062126421333,51.76,5.147671542152464
18.51,0.22866282623382944,21.48,0.708350940482828,31.07,3.048606646637453,37.01,2.120021723312226,50.01,1.6004201868957229,51.77,5.334247797255687
18.52,0.23273164904097965,21.49,0.7198936461433397,31.08,3.0960441411056805,37.02,2.1573772275802146,50.02,1.6369888025596346,51.78,5.531122643406403
18.53,0.23691002208009515,21.5,0.7317206768433072,31.09,3.144597127529108,37.03,2.1957282027404967,50.03,1.6748238083163818,51.79,5.739065709384295
18.54,0.2412019127768233,21.51,0.7438414437304045,31.1,3.194300843459608,37.04,2.2351103132879127,50.04,1.7139842918986408,51.8,5.958919635239999
18.55,0.2456114697572516,21.52,0.7562657504035696,31.11,3.2451919284033885,37.05,2.275560834269994,50.05,1.7545328236736697,51.81,6.191608513763976
18.56,0.25014303286792555,21.53,0.769003812707326,31.12,3.2973084912653774,37.06,2.31711873929926,50.06,1.796535705591466,51.82,6.438147488501468
18.57,0.25480114384817776,21.54,0.7820662797001473,31.13,3.3506901816078196,37.07,2.3598247942242385,50.07,1.84006324111749,51.83,6.699653692261702
18.58,0.2595905577036878,21.55,0.7954642558771771,31.14,3.4053782649720468,37.08,2.403721656879088,50.08,1.8851900281939091,51.84,6.977358743495258
18.59,0.2645162548344713,21.56,0.8092093247336468,31.15,3.461415702529645,37.09,2.4488539833659058,50.09,1.9319952774986344,51.85,7.272623058206742
18.6,0.2695834539749662,21.57,0.8233135737623075,31.16,3.518847235350285,37.1,2.4952685413632243,50.1,1.9805631585266856,51.86,7.586952283788005
18.61,0.27479762600899066,21.58,0.8377896209852951,31.17,3.5777194735938265,37.11,2.5430143309964994,50.11,2.0309831763049933,51.87,7.922016220266881
18.62,0.2801645087277965,21.59,0.8526506431291313,31.18,3.638080990958689,37.12,2.5921427138518403,50.12,2.0833505818739417,51.88,8.279670666468387
18.63,0.28569012260547816,21.6,0.8679104055599591,31.19,3.699982424743191,37.13,2.642707550766114,50.13,2.137766820034817,51.89,8.661982716587735
18.64,0.2913807876727137,21.61,0.8835832941059019,31.2,3.763476581903891,37.14,2.6947653490814862,50.14,2.1943400182739734,51.9,9.071260140685991
18.65,0.2972431415770193,21.62,0.8996843489036024,31.21,3.828618551525668,37.15,2.7483754201146744,50.15,2.2531855212427057,51.91,9.51008561568775
